Employee_ID,Month,Department,Experience_Years,Base_Salary_INR,Attendance_Percent,Working_Days,Leave_Days,OT_Hours,Bonus_INR,Deductions_INR,Previous_Payroll_INR,Payroll_Cost_INR,Absenteeism_Risk,Anomaly
762,Dec,Finance,14,29778,82,26,5,23,6007,2679,41119,38480,High,1
763,Apr,Operations,8,38815,91,25,3,1,2234,2246,38480,38377,Low,0
764,Jun,Finance,13,19060,93,24,2,33,7290,2745,38377,31680,Low,0
765,Apr,Finance,10,33474,83,25,5,11,3994,418,31680,39756,High,0
766,Apr,Finance,15,19416,84,22,4,26,7107,1799,39756,31014,High,0
767,Jul,HR,10,23043,100,21,0,10,2885,1150,31014,26602,Low,0
768,Nov,HR,10,19202,85,20,3,27,3473,787,26602,28149,Medium,0
769,Jun,IT,3,21649,88,23,3,32,3256,2438,28149,30189,Medium,0
770,Jan,Operations,12,24089,92,26,3,0,6027,1522,30189,28027,Low,0
771,Jun,Finance,4,40268,81,24,5,12,1694,83,28027,45265,High,1
772,Nov,IT,7,27627,83,21,4,15,1911,1930,45265,31758,High,0
773,Oct,Finance,3,19192,98,22,1,33,5278,2465,31758,29639,Low,0
774,Sep,Operations,3,25778,86,23,4,19,3411,1487,29639,31683,Medium,0
775,Apr,Sales,10,31088,87,25,4,27,1995,1366,31683,38869,Medium,0
776,Apr,Operations,1,35029,97,26,1,19,2205,1922,38869,40851,Low,0
777,Dec,Operations,14,18446,81,25,5,24,3784,933,40851,27723,High,1
778,Oct,HR,15,35968,92,21,2,6,2129,1803,27723,37180,Low,0
779,May,Operations,6,40713,80,20,4,5,7413,372,37180,48580,High,1
780,Jun,Sales,13,31446,96,23,1,18,7529,2875,48580,40512,Low,0
781,Sep,Finance,5,21283,96,24,1,31,933,1522,40512,28238,Low,0
782,Sep,HR,7,46757,92,22,2,21,4931,2518,28238,54765,Low,0
783,Oct,Finance,9,42951,82,24,5,23,6908,468,54765,55090,High,1
784,Nov,IT,10,22507,90,25,3,7,2773,661,55090,26423,Low,0
785,Jan,Finance,7,31173,80,21,5,12,5445,2177,26423,37555,High,1
786,Jun,Operations,8,25625,85,26,4,29,1348,1535,37555,33390,Medium,0
787,Jan,Sales,12,25199,90,25,3,25,5535,172,33390,37029,Low,0
788,Sep,Operations,6,35746,85,20,3,11,5683,762,37029,43146,Medium,0
789,Nov,IT,4,41007,99,26,1,10,5395,2087,43146,46658,Low,0
790,May,IT,4,41479,95,25,2,39,911,551,46658,51349,Low,1
791,May,Finance,6,35897,99,26,1,36,6827,910,51349,51389,Low,1
792,Aug,Finance,4,42678,91,23,3,28,4504,672,51389,52831,Low,0
793,Nov,Sales,2,38049,99,20,1,37,7650,2821,52831,52376,Low,1
794,Dec,HR,8,44424,82,21,4,33,191,64,52376,53267,High,1
795,Apr,Operations,2,45203,94,24,2,15,7065,747,53267,54886,Low,0
796,Jun,Finance,0,22315,90,22,3,4,7451,295,54886,29717,Low,0
797,Oct,Sales,1,23232,89,25,3,17,2463,357,29717,29207,Medium,0
798,Aug,IT,8,36122,80,26,6,3,5997,1172,29207,41363,High,1
799,May,Sales,15,38065,99,26,1,9,3128,2864,41363,40890,Low,0
800,Aug,Operations,14,45181,86,21,3,17,2217,2090,40890,49265,Medium,0
801,Mar,Finance,12,19494,87,20,3,13,3602,1508,49265,24983,Medium,0
802,Sep,Finance,15,18870,99,26,1,22,3286,859,24983,26324,Low,0
803,Jun,Operations,12,23121,96,26,2,9,3482,755,26324,28264,Low,0
804,Sep,HR,6,39419,87,22,3,36,6655,386,28264,54428,Medium,1
805,May,Finance,3,33807,89,23,3,37,4740,891,54428,46752,Medium,1
806,Jul,Sales,9,26320,84,24,4,35,4927,2307,46752,38172,High,0
807,Mar,HR,9,40027,83,26,5,27,6677,1913,38172,51635,High,0
808,Nov,Operations,6,45778,83,21,4,26,1411,2087,51635,51107,High,0
809,Jun,HR,13,30713,88,21,3,6,1498,2956,51107,31137,Medium,0
810,Apr,HR,15,37214,97,21,1,28,5290,2063,31137,47636,Low,0
811,Feb,Sales,6,32559,81,26,5,36,834,2203,47636,40281,High,1
812,Apr,Finance,7,48785,98,21,1,22,3044,427,40281,57084,Low,0
813,Feb,HR,9,23026,88,24,3,6,490,2345,57084,21974,Medium,0
814,Apr,HR,6,20754,88,22,3,5,2153,2004,21974,21726,Medium,0
815,May,Sales,9,48078,94,21,2,23,1987,2960,21726,52901,Low,0
816,Feb,HR,0,21750,90,25,3,6,3704,2855,52901,24303,Low,0
817,Jan,HR,6,29492,81,22,5,24,3373,2668,24303,36489,High,1
818,Jul,HR,9,31694,82,24,5,32,6128,1805,36489,44603,High,1
819,Jul,IT,15,26995,85,26,4,26,7419,1669,44603,38877,Medium,0
820,Nov,Sales,6,33117,98,21,1,35,4166,484,38877,44912,Low,0
821,Nov,Finance,13,18291,80,22,5,40,3999,2588,44912,29225,High,1
822,Apr,Operations,4,46663,89,23,3,40,5966,837,29225,61284,Medium,1
823,Nov,Operations,0,39554,89,20,3,24,3617,2949,61284,46087,Medium,0
824,Sep,IT,7,29033,82,21,4,3,5491,323,46087,34738,High,1
825,Jan,Finance,9,44067,97,25,1,10,946,375,34738,47835,Low,0
826,Nov,Sales,9,18824,91,25,3,11,5047,1617,47835,25507,Low,0
827,Sep,Operations,3,21859,96,23,1,19,3990,1818,25507,28765,Low,0
828,Feb,Operations,7,30454,86,22,4,30,5294,2916,28765,40307,Medium,0
829,Jul,IT,8,45331,83,24,5,2,5338,1838,40307,49068,High,0
830,Apr,HR,14,30771,99,22,1,23,1250,2471,49068,35563,Low,0
831,Mar,Operations,4,48752,88,26,4,15,1005,2297,35563,50444,Medium,0
832,Jul,Sales,1,38115,94,25,2,19,7462,2400,50444,48027,Low,0
833,Dec,Sales,3,48281,83,23,4,19,4146,2932,48027,53484,High,0
834,Jul,Finance,4,44163,95,20,1,1,221,618,53484,44247,Low,0
835,Apr,Sales,2,36112,86,24,4,33,577,560,44247,44172,Medium,0
836,Jul,Operations,8,37201,87,22,3,3,4614,399,44172,42478,Medium,0
837,Nov,Operations,9,37583,81,26,5,7,822,1752,42478,37734,High,1
838,Oct,HR,8,40204,95,22,2,11,4705,1790,37734,45112,Low,0
839,May,Operations,10,27800,97,22,1,40,5263,2085,45112,40353,Low,1
840,Feb,IT,15,29154,87,22,3,7,2593,2083,40353,31645,Medium,0
841,May,Finance,11,26107,93,24,2,17,4874,2450,31645,32474,Low,0
842,Jul,Operations,8,49002,99,26,1,13,1105,2243,32474,51640,Low,0
843,Mar,IT,0,20605,88,26,4,11,2952,1061,51640,25858,Medium,0
844,Oct,HR,12,33156,85,25,4,6,2460,2706,25858,33823,Medium,0
845,Mar,Operations,13,19413,86,23,4,25,5612,1740,33823,29135,Medium,0
846,Jun,IT,9,31184,98,23,1,32,3241,769,29135,41655,Low,0
847,Mar,IT,10,36225,94,20,2,5,1971,2797,41655,37370,Low,0
848,Feb,IT,5,45308,91,26,3,17,7308,1880,37370,55159,Low,0
849,Jun,Finance,11,44177,85,26,4,34,5484,724,55159,56985,Medium,0
850,Feb,HR,6,33676,90,26,3,6,4297,633,56985,38333,Low,0
851,Dec,IT,7,45784,90,26,3,18,2479,336,38333,52174,Low,0
852,Apr,Operations,0,49102,93,21,2,24,3820,51,52174,58973,Low,0
853,Nov,Operations,0,21077,87,23,3,16,1970,99,58973,27363,Medium,0
854,Feb,Operations,13,37071,96,20,1,15,3673,1174,27363,42956,Low,0
855,Jan,Finance,1,47055,83,26,5,37,172,2575,42956,54558,High,1
856,Oct,Operations,4,44635,92,21,2,34,3791,1088,54558,55746,Low,0
857,Jul,HR,6,20948,98,26,1,40,2751,2454,55746,31333,Low,1
858,Apr,Finance,10,19553,96,22,1,32,836,156,31333,28115,Low,0
859,May,Finance,8,48714,93,26,2,33,3649,1841,28115,58917,Low,0
860,Aug,IT,10,48145,83,25,5,39,1435,464,58917,58574,High,1
861,Dec,HR,6,22447,86,23,4,21,1540,1365,58574,28562,Medium,0
862,Aug,Operations,1,38700,85,26,4,3,1429,1826,28562,38408,Medium,0
863,Feb,Operations,0,18584,95,25,2,26,4130,352,38408,28909,Low,0
864,Apr,HR,1,37211,93,21,2,21,2497,2582,28909,42582,Low,0
865,Jul,Operations,1,39154,96,20,1,20,305,2485,42582,42057,Low,0
866,Apr,HR,10,18394,80,20,4,3,6989,1732,42057,24604,High,1
867,Dec,Operations,11,45425,83,24,5,24,4754,1292,24604,54112,High,0
868,Jul,Finance,13,38339,82,23,5,34,4317,1538,54112,49030,High,1
869,Aug,Sales,12,39580,83,23,4,27,6556,2066,49030,51245,High,0
870,Jan,Sales,15,46540,89,20,3,38,7196,1725,51245,62072,Medium,1
871,Oct,Finance,0,45069,95,21,2,22,4726,1919,62072,53351,Low,0
872,Feb,Finance,1,28872,89,24,3,15,7604,2321,53351,37923,Medium,0
873,Oct,Sales,13,33072,97,25,1,37,7935,599,37923,50134,Low,1
874,Dec,Operations,9,38783,97,20,1,18,7757,2728,50134,47540,Low,0
875,Mar,Finance,1,43073,87,20,3,10,6556,1075,47540,50741,Medium,0
876,Dec,Operations,7,42433,96,24,1,20,5034,2403,50741,49554,Low,0
877,Feb,HR,14,34909,92,22,2,9,6581,1836,49554,41462,Low,0
878,Sep,Finance,11,18609,96,22,1,31,429,500,41462,25822,Low,0
879,Jan,Operations,2,28695,90,20,2,9,3110,548,25822,33328,Low,0
880,Sep,Sales,3,45958,94,24,2,9,3991,494,33328,51348,Low,0
881,Mar,Finance,7,47569,80,20,4,16,799,745,51348,52406,High,1
882,Aug,IT,10,45326,84,21,4,20,5785,2799,52406,53316,High,0
883,Nov,HR,14,27032,88,24,3,34,1502,554,53316,36938,Medium,0
884,Jun,HR,7,40763,80,25,5,7,1652,1254,36938,43680,High,1
885,Jan,Finance,10,21216,89,26,3,29,6605,2213,43680,32384,Medium,0
886,Aug,Sales,2,29436,92,21,2,10,1698,300,32384,34075,Low,0
887,Jan,Sales,12,20734,84,21,4,29,5436,215,34075,33243,High,0
888,Nov,Operations,3,19018,92,22,2,12,1982,2407,33243,21685,Low,0
889,Dec,Finance,14,35423,91,25,3,8,7181,1577,21685,42364,Low,0
890,May,Operations,9,27567,83,21,4,27,2665,1820,42364,34940,High,0
891,Apr,Operations,9,30446,99,20,1,7,3683,256,34940,35983,Low,0
892,Aug,Operations,8,34203,88,23,3,6,1897,2056,35983,36179,Medium,0
893,Nov,HR,13,24252,80,23,5,24,6847,1404,36179,35665,High,1
894,Nov,Sales,2,48252,92,25,2,9,2520,1680,35665,51596,Low,0
895,Mar,Finance,10,32614,94,22,2,37,3915,2507,51596,43744,Low,1
896,Mar,HR,8,38980,96,26,2,1,3386,2905,43744,38962,Low,0
897,May,IT,15,30262,86,23,4,1,3837,1683,38962,33357,Medium,0
898,Apr,Sales,2,38871,87,22,3,24,1661,1698,33357,44795,Medium,0
899,Oct,Operations,13,29979,92,20,2,14,563,1263,44795,33041,Low,0
900,Feb,IT,14,42906,93,25,2,22,4672,1712,33041,51861,Low,0
901,Mar,HR,13,28797,88,23,3,20,4043,2995,51861,34958,Medium,0
902,Jan,Operations,6,39677,81,26,5,10,461,1416,34958,41032,High,1
903,Feb,HR,7,34330,89,23,3,34,3353,2182,41032,43358,Medium,0
904,Jan,Sales,5,39874,86,25,4,5,3115,625,43358,43894,Medium,0
905,Dec,Finance,11,20193,84,24,4,20,5360,1753,43894,28459,High,0
906,Feb,Sales,2,33961,90,20,2,25,5124,2977,28459,42129,Low,0
907,Jun,Operations,7,26748,85,23,4,11,1305,1856,42129,29612,Medium,0
908,Jun,HR,12,42986,97,20,1,12,2487,1485,29612,47564,Low,0
909,May,IT,7,38929,83,24,5,21,3144,944,47564,46847,High,0
910,Jun,Sales,0,32569,93,26,2,40,5888,1522,46847,46752,Low,1
911,Aug,HR,7,27786,86,25,4,40,2867,2298,46752,39112,Medium,1
912,Aug,IT,11,44720,92,20,2,0,4712,121,39112,49717,Low,0
913,Sep,Operations,10,34314,86,23,4,35,4899,857,49717,47308,Medium,0
914,Jan,Operations,6,28688,95,26,2,0,5694,1060,47308,33120,Low,0
915,Nov,HR,14,44268,99,25,1,13,2335,2191,33120,47869,Low,0
916,Oct,HR,6,28182,92,22,2,1,785,1215,47869,27915,Low,0
917,Dec,HR,4,23667,93,25,2,18,956,1529,27915,28332,Low,0
918,Oct,HR,3,27941,88,26,4,32,3387,1106,28332,38737,Medium,0
919,Aug,Finance,10,26353,80,21,5,21,1879,1314,38737,32964,High,1
920,Apr,Operations,8,47431,90,20,2,19,2309,55,32964,54685,Low,0
921,May,HR,6,29970,83,25,5,23,2803,489,54685,38274,High,0
922,Mar,Operations,8,20841,98,23,1,31,2498,1499,38274,29867,Low,0
923,Sep,Sales,10,31786,99,26,1,16,4601,743,29867,39817,Low,0
924,Aug,Finance,4,26003,88,24,3,6,1929,1014,39817,28123,Medium,0
925,Jan,HR,7,22284,97,25,1,31,2871,2041,28123,30828,Low,0
926,Nov,Sales,6,39794,100,21,0,27,4240,1950,30828,48418,Low,0
927,Jan,Finance,1,20802,88,22,3,7,3976,609,48418,26169,Medium,0
928,Sep,HR,3,34937,99,21,1,24,1036,1242,26169,40376,Low,0
929,Oct,Finance,15,20588,95,22,2,25,1697,1408,40376,26367,Low,0
930,Aug,Operations,6,24521,97,24,1,7,5645,1885,26367,30816,Low,0
931,Dec,HR,3,29043,84,20,4,12,6418,2288,30816,36854,High,0
932,Nov,Finance,11,40435,82,23,5,6,6150,2215,36854,45158,High,1
933,May,Operations,14,33452,88,26,4,21,2467,2232,45158,38188,Medium,0
934,Apr,Operations,5,20594,86,26,4,22,5548,2382,38188,29330,Medium,0
935,Apr,Sales,2,35318,81,24,5,8,129,2157,29330,35489,High,1
936,Aug,IT,8,27018,80,23,5,36,2216,2163,35489,35355,High,1
937,May,HR,14,24790,86,21,3,9,228,2604,35355,25225,Medium,0
938,Nov,IT,8,22298,95,23,2,23,7753,13,25225,35878,Low,0
939,Jul,Sales,3,34331,98,26,1,2,3319,2848,35878,34780,Low,0
940,Aug,Operations,5,22757,96,23,1,8,4125,1720,34780,26931,Low,0
941,May,Sales,7,21776,94,25,2,23,4668,401,26931,32040,Low,0
942,Sep,IT,5,34966,86,21,3,1,755,1345,32040,34299,Medium,0
943,Jun,HR,3,19542,93,21,2,2,758,1956,34299,19035,Low,0
944,Nov,HR,13,27883,100,21,0,9,4545,2790,19035,32307,Low,0
945,Aug,Operations,5,19390,91,24,3,13,6590,1368,32307,27304,Low,0
946,Dec,HR,14,21493,83,25,5,21,5309,2130,27304,30718,High,0
947,Sep,IT,4,48180,100,20,0,17,4823,29,30718,57435,Low,0
948,Oct,Operations,1,22226,90,23,3,40,3451,274,57435,35488,Low,1
949,Apr,IT,11,34951,92,21,2,27,2140,1521,35488,42129,Low,0
950,Oct,Sales,14,18554,90,25,3,7,3237,2030,42129,21630,Low,0
951,Mar,IT,3,30025,81,21,4,36,125,619,21630,37836,High,1
952,Dec,Finance,14,40071,90,20,2,15,6852,2741,37836,47625,Low,0
953,Aug,Finance,15,32559,92,20,2,14,1525,1496,47625,35522,Low,0
954,Jun,IT,14,47981,84,20,4,27,5995,883,35522,59183,High,0
955,Dec,Operations,15,43827,99,21,1,6,5701,2410,59183,47834,Low,0
956,Jul,Operations,7,34494,83,24,5,14,3600,1403,47834,39836,High,0
957,Oct,Finance,2,32404,99,26,1,11,5964,2949,39836,38429,Low,0
958,Jun,Sales,10,46575,99,20,1,7,2051,1681,38429,49171,Low,0
959,Mar,IT,10,45623,81,23,5,7,2638,2295,49171,47336,High,1
960,Mar,Finance,4,47515,96,22,1,16,7472,2399,47336,57188,Low,0
961,May,Operations,4,27606,88,25,3,28,1742,2490,57188,33396,Medium,0
962,Oct,HR,14,22315,86,25,4,21,1420,1618,33396,28122,Medium,0
963,May,Operations,15,30990,84,26,5,23,7398,198,28122,44011,High,0
964,Nov,Finance,5,48026,96,22,1,13,3123,1112,44011,52763,Low,0
965,Mar,Finance,14,34804,96,24,1,13,1125,725,52763,38972,Low,0
966,Jun,IT,8,18077,93,21,2,4,7880,1064,38972,25280,Low,0
967,Apr,Sales,9,36023,95,22,2,38,2036,1192,25280,46140,Low,1
968,Jun,Sales,3,36764,81,20,4,10,4639,1057,46140,43127,High,1
969,Feb,IT,13,24314,87,23,3,34,6171,1397,43127,37718,Medium,0
970,Jan,Finance,8,45776,83,23,4,22,6409,2265,37718,55228,High,0
971,Dec,Sales,6,49194,99,25,1,20,2310,1122,55228,55140,Low,0
972,Oct,Sales,7,43520,81,20,4,39,3128,1433,55140,55341,High,1
973,Mar,Operations,10,48499,88,21,3,40,1348,2578,55341,57814,Medium,1
974,Sep,IT,9,23885,98,26,1,7,4528,713,57814,28712,Low,0
975,Apr,Finance,15,22450,97,25,1,26,7323,2376,28712,34056,Low,0
976,Mar,Sales,11,45225,82,20,4,20,6854,586,34056,55745,High,1
977,Oct,Sales,5,22221,89,22,3,6,4149,2811,55745,24582,Medium,0
978,Jul,HR,9,28459,85,21,4,28,1349,1824,24582,35008,Medium,0
979,Mar,HR,9,30619,84,24,4,20,4522,983,35008,39184,High,0
980,Jun,Sales,10,37859,94,26,2,6,6269,2194,39184,43768,Low,0
981,Nov,IT,3,36592,88,24,3,6,1244,1344,43768,37851,Medium,0
982,Jul,Sales,3,21306,85,25,4,26,6521,1064,37851,33112,Medium,0
983,Jan,HR,8,40714,83,22,4,22,2812,2668,33112,45872,High,0
984,Aug,Operations,1,29132,89,22,3,32,829,1288,45872,35986,Medium,0
985,Jun,IT,12,40404,91,26,3,35,4548,2419,35986,51225,Low,0
986,Aug,Finance,4,46998,82,26,5,19,5147,346,51225,57169,High,1
987,Apr,Operations,1,19318,96,22,1,35,7511,2209,57169,32939,Low,0
988,Jul,IT,2,22369,87,20,3,8,7812,2754,32939,29532,Medium,0
989,Nov,IT,0,48496,87,20,3,14,87,2962,29532,48806,Medium,0
990,Mar,Operations,4,23120,96,26,2,36,3260,1961,48806,33188,Low,1
991,Jan,HR,10,27967,97,25,1,31,7571,142,33188,43091,Low,0
992,Jul,HR,14,22234,98,24,1,33,2714,2666,43091,29746,Low,0
993,Dec,Operations,4,18293,90,23,3,25,3054,2321,29746,24532,Low,0
994,Nov,Operations,1,48004,83,23,4,4,724,2334,24532,47413,High,0
995,Jun,HR,8,39459,94,25,2,5,3643,2207,47413,42489,Low,0
996,Aug,IT,9,35377,99,24,1,22,3984,2976,42489,41530,Low,0
997,Jul,Sales,13,22052,96,22,1,8,4442,1730,41530,27328,Low,0
998,Apr,HR,7,25873,87,22,3,1,3287,1120,27328,28076,Medium,0
999,Jan,Sales,13,27849,97,23,1,38,5959,1228,28076,42837,Low,1
1000,Dec,IT,5,33437,94,23,2,18,3287,164,42837,40459,Low,0
1001,Aug,IT,10,24098,100,26,0,32,7200,113,40459,39864,Low,0
1002,Aug,HR,7,26884,91,25,3,39,4933,455,39864,40985,Low,1
1003,Jan,IT,11,47982,91,23,3,38,6156,460,40985,63070,Low,1
1004,Jun,Finance,9,22658,85,26,4,1,4828,258,63070,27623,Medium,0
1005,Sep,Finance,7,48690,96,20,1,0,3057,883,27623,50901,Low,0
1006,Sep,Finance,10,26305,97,20,1,4,7751,2184,50901,32612,Low,0
1007,Dec,IT,11,20388,98,24,1,24,7184,2357,32612,30940,Low,0
1008,Jan,Finance,13,18803,89,22,3,1,3008,202,30940,22250,Medium,0
1009,Jan,HR,14,21114,99,22,1,4,4361,2853,22250,23343,Low,0
1010,Jun,Sales,4,49393,82,25,5,29,3681,967,23343,58922,High,1
1011,Dec,IT,8,48654,96,22,1,30,5486,1027,58922,60650,Low,0
1012,Oct,IT,6,20782,80,24,5,34,7021,2354,60650,33266,High,1
1013,Mar,Operations,10,24064,93,23,2,37,2424,1757,33266,33575,Low,1
1014,Jan,Sales,4,22194,88,23,3,37,7058,2782,33575,36386,Medium,1
1015,Mar,Sales,0,37624,91,22,2,1,493,1767,36386,36339,Low,0
1016,Apr,HR,3,32783,86,20,3,40,5689,940,36339,46952,Medium,1
1017,Apr,HR,3,32391,98,20,1,20,3562,1293,46952,39833,Low,0
1018,Mar,Operations,15,40947,85,22,4,24,6523,1834,39833,51213,Medium,0
1019,Sep,Sales,3,32841,97,23,1,6,600,984,51213,34528,Low,0
1020,Jun,HR,2,38049,93,23,2,30,3092,2808,34528,45313,Low,0
1021,Oct,Operations,15,24097,94,22,2,35,780,2457,45313,31510,Low,0
1022,Mar,Finance,11,25298,99,25,1,15,2029,1825,31510,29865,Low,0
1023,Jul,IT,15,32306,97,25,1,9,1665,932,29865,35196,Low,0
1024,Jun,Sales,2,28032,83,23,4,11,6101,1893,35196,35481,High,0
1025,Nov,Operations,0,31211,82,24,5,2,4270,1768,35481,33797,High,1
1026,Jan,IT,4,24628,91,23,3,20,7863,857,33797,36566,Low,0
1027,Nov,IT,6,35756,88,21,3,0,7712,1022,36566,42302,Medium,0
1028,Dec,IT,1,19196,89,20,3,39,5793,446,42302,33543,Medium,1
1029,Jul,IT,13,42448,94,22,2,1,7519,2600,33543,48323,Low,0
1030,Oct,Operations,4,37263,81,21,4,40,3804,1280,48323,50156,High,1
1031,May,IT,14,18648,89,22,3,22,147,276,50156,24797,Medium,0
1032,Feb,Operations,0,35179,93,26,2,7,6463,2972,24797,40602,Low,0
1033,Feb,Sales,8,18438,92,20,2,34,6792,2576,40602,31411,Low,0
1034,Apr,Operations,7,21944,90,24,3,0,5639,2125,31411,25507,Low,0
1035,Dec,IT,5,35349,100,25,0,0,672,721,25507,36037,Low,0
1036,Apr,HR,5,28636,90,23,3,3,2832,1781,36037,30999,Low,0
1037,Mar,IT,15,24527,89,24,3,0,6284,829,30999,29871,Medium,0
1038,Jul,HR,14,41024,87,22,3,2,6948,1387,29871,47794,Medium,0
1039,Jul,IT,7,31373,98,23,1,4,747,397,47794,32139,Low,0
1040,May,IT,3,33935,81,26,5,5,5991,2841,32139,38796,High,1
1041,Jan,HR,1,41658,84,26,5,39,4335,931,38796,55283,High,1
1042,Oct,Operations,12,25834,88,22,3,9,5259,1390,55283,32447,Medium,0
1043,Aug,HR,14,26656,96,23,1,3,7013,1238,32447,32827,Low,0
1044,Sep,HR,15,27881,98,25,1,40,4750,2396,32827,40566,Low,1
1045,Jun,Sales,4,20408,83,21,4,40,1073,81,40566,30929,High,1
1046,Aug,HR,0,35766,88,22,3,24,6711,840,30929,47827,Medium,0
1047,Jan,Finance,7,46059,90,21,3,26,2156,1474,47827,53110,Low,0
1048,Jun,HR,0,34555,89,25,3,38,4037,2714,53110,44583,Medium,1
1049,Nov,HR,2,47510,95,23,2,13,6821,1983,44583,55076,Low,0
1050,Feb,IT,14,36391,83,20,4,20,1509,2532,55076,40676,High,0
1051,Nov,HR,12,35382,82,25,5,1,1603,2350,40676,34693,High,1
1052,Feb,Sales,5,32559,91,20,2,12,4616,1562,34693,38382,Low,0
1053,Apr,Finance,12,36814,83,25,5,26,1914,1036,38382,44173,High,0
1054,Jul,Sales,13,44104,96,21,1,10,1114,1138,44173,46087,Low,0
1055,Nov,HR,6,34174,97,21,1,13,1980,757,46087,38147,Low,0
1056,Jul,Sales,15,29477,90,25,3,5,1794,261,38147,32671,Low,0
1057,Sep,Sales,0,40086,83,24,5,36,7854,2462,32671,55223,High,1
1058,Feb,Sales,11,25875,98,23,1,33,7894,1392,55223,40593,Low,0
1059,Dec,Operations,13,36362,97,26,1,10,6304,2791,40593,42678,Low,0
1060,Dec,Sales,9,42903,86,21,3,10,4657,1631,42678,48529,Medium,0
1061,Apr,Operations,15,25246,82,23,5,27,3382,2894,48529,32233,High,1
1062,Dec,Finance,13,44212,88,25,3,31,5702,176,32233,57603,Medium,0
1063,Aug,Finance,0,39414,95,21,2,34,6832,1262,57603,53295,Low,0
1064,Feb,Operations,15,20456,82,21,4,28,3637,1425,53295,29847,High,1
1065,Sep,Finance,10,30730,99,21,1,29,150,2564,29847,35911,Low,0
1066,Feb,Finance,9,22924,91,26,3,20,2627,1688,35911,29073,Low,0
1067,Oct,Sales,4,22347,86,22,4,14,3272,1355,29073,27753,Medium,0
1068,Mar,IT,14,37137,98,24,1,2,5258,2427,27753,40885,Low,0
1069,Apr,Finance,1,41604,84,24,4,37,4625,272,40885,55932,High,1
1070,May,Finance,13,39069,95,22,2,24,7521,2067,55932,50478,Low,0
1071,Apr,Finance,7,25295,95,22,2,11,3988,2243,50478,29226,Low,0
1072,Apr,Operations,2,31576,96,26,2,16,6497,290,29226,41223,Low,0
1073,Feb,Finance,15,44679,87,23,3,5,7301,1957,41223,51227,Medium,0
1074,May,HR,15,22141,81,26,5,10,5719,825,51227,29910,High,1
1075,Aug,IT,4,25356,95,22,2,29,49,441,29910,32228,Low,0
1076,May,HR,9,46208,83,22,4,38,6985,206,32228,62199,High,1
1077,Nov,HR,7,39117,84,24,4,32,7491,2386,62199,52364,High,0
1078,Mar,Operations,0,22616,86,25,4,34,2823,1265,52364,32458,Medium,0
1079,Jan,Finance,14,20258,87,23,3,16,3685,639,32458,27029,Medium,0
1080,Dec,Sales,4,26083,96,21,1,28,1368,428,27029,33866,Low,0
1081,Aug,Finance,12,43745,85,21,4,9,2289,1650,33866,45858,Medium,0
1082,Oct,Operations,3,20136,82,23,5,10,1829,428,45858,23703,High,1
1083,Apr,Sales,10,20826,100,20,0,24,7904,2133,23703,32523,Low,0
1084,Feb,Sales,4,35674,96,20,1,30,4750,1827,32523,45967,Low,0
1085,Feb,Finance,2,21943,92,20,2,21,429,964,45967,26397,Low,0
1086,Oct,IT,1,49744,90,26,3,22,1019,2564,26397,54459,Low,0
1087,Aug,HR,15,21877,86,21,3,8,38,2500,54459,20889,Medium,0
1088,Oct,Sales,0,20532,85,22,4,36,2164,857,20889,30267,Medium,1
1089,Feb,Finance,7,36424,99,26,1,0,1486,2484,30267,35026,Low,0
1090,Oct,Operations,1,21732,83,21,4,11,5349,203,35026,28990,High,0
1091,Dec,Sales,9,26220,92,24,2,25,2923,1951,28990,32708,Low,0
1092,Oct,HR,2,36529,94,26,2,3,3018,2778,32708,37608,Low,0
1093,Aug,IT,12,37742,100,23,0,11,429,2384,37608,38395,Low,0
1094,Oct,Operations,0,41362,84,20,4,32,2138,1286,38395,50507,High,0
1095,Oct,Operations,14,47883,100,20,0,18,937,1048,50507,51739,Low,0
1096,Sep,Sales,7,30618,95,21,2,22,2699,1038,51739,37258,Low,0
1097,May,Finance,7,28136,82,24,5,40,5098,101,37258,42386,High,1
1098,Nov,Finance,10,38219,94,22,2,19,1312,1548,42386,42680,Low,0
1099,Apr,Sales,14,37180,83,20,4,13,4228,1050,42680,42872,High,0
1100,May,IT,15,48286,95,24,2,26,3841,72,42872,58814,Low,0
1101,Jun,Finance,1,33213,81,23,5,25,17,1317,58814,38087,High,1
1102,Apr,Sales,0,34686,97,23,1,22,7594,1023,38087,47518,Low,0
1103,Mar,Sales,12,19004,91,25,3,24,4888,417,47518,30011,Low,0
1104,Oct,IT,1,19173,92,23,2,33,6844,73,30011,34626,Low,0
1105,Mar,Sales,11,22077,82,24,5,10,1577,2894,34626,23781,High,1
1106,Feb,Finance,14,49468,93,22,2,9,1494,2376,23781,51478,Low,0
1107,Jun,Sales,3,20084,97,26,1,39,3608,430,51478,33457,Low,1
1108,Oct,Finance,5,42678,90,21,3,29,5822,189,33457,56105,Low,0
1109,Nov,HR,4,43168,83,20,4,37,4447,1550,56105,55252,High,1
1110,Aug,Sales,10,41071,85,26,4,34,5983,586,55252,55176,Medium,0
1111,Sep,Finance,8,39701,89,25,3,14,3769,2309,55176,44425,Medium,0
1112,Jul,Finance,7,23252,85,22,4,30,2976,2695,44425,31009,Medium,0
1113,Feb,Finance,15,49836,81,22,5,40,2503,435,31009,61279,High,1
